,TOV_team,F_tech,team_score,opponent_team_score,largest_lead,OT_length_min_tot,rest_days,attendance,tz_dif_H_E,prev_game_dist,home_away_NS,travel_dist,shooting_efficiency,rebound_score,assist_turnover_ratio,defensive_impact
campbell_fighting_camels,0.7931034482758621,0.034482758620689655,64.51724137931035,53.793103448275865,19.275862068965516,,,,,,0.034482758620689655,,0.4366149469737153,34.827586206896555,1.0192288463291894,-2.689655172413793
east_carolina_pirates,0.8571428571428571,0.32142857142857145,60.535714285714285,59.214285714285715,13.285714285714286,,,,0.0,,-0.03571428571428571,521.2142857142857,0.39137206265537056,37.142857142857146,0.770586147700104,-2.8214285714285716
kansas_city_roos,0.7419354838709677,0.0,72.03225806451613,65.35483870967742,13.580645161290322,,,,,,0.03225806451612903,,0.4673172020382565,38.354838709677416,1.070240445806992,-6.645161290322581
ut_arlington_mavericks,0.4074074074074074,0.07407407407407407,69.96296296296296,66.03703703703704,13.333333333333334,,,978.3703703703703,-0.07407407407407407,,0.037037037037037035,504.51851851851853,0.4589783465450838,37.81481481481482,1.0779101556879331,-4.925925925925926
old_dominion_monarchs,0.5483870967741935,0.1935483870967742,63.83870967741935,55.645161290322584,14.483870967741936,,,,,,0.0,,0.41973903575592025,37.32258064516129,0.7985147758629729,-3.870967741935484
stetson_hatters,0.6774193548387096,0.0,63.96774193548387,56.54838709677419,16.451612903225808,,,,,,-0.06451612903225806,,0.4378372030782714,38.193548387096776,0.7871365419260656,-4.612903225806452
colorado_buffaloes,0.6333333333333333,0.1,65.36666666666666,56.833333333333336,15.766666666666667,,,,,,0.16666666666666666,479.23333333333335,0.43654121378382393,36.36666666666667,1.0086228560442114,-2.933333333333333
wisconsin_badgers,0.6896551724137931,0.0,57.89655172413793,67.17241379310344,5.689655172413793,,,,0.0,,0.10344827586206896,309.44827586206895,0.42071264034268874,29.724137931034484,0.8638234505294398,-6.137931034482759
utah_utes,0.9032258064516129,0.3225806451612903,76.03225806451613,67.87096774193549,17.774193548387096,,,,,,0.16129032258064516,,0.4687443677243878,38.935483870967744,1.0475175877330796,-6.935483870967742
eastern_illinois_panthers,0.6,0.0,67.93333333333334,65.5,12.333333333333334,,,,,,0.0,,0.4510048312096738,34.833333333333336,0.9997615315366697,-5.2
portland_pilots,0.7241379310344828,0.06896551724137931,71.10344827586206,61.58620689655172,16.586206896551722,,,,,,0.13793103448275862,,0.45345732434585934,37.41379310344828,1.1543444455879301,-2.5517241379310347
evergreen_state_geoducks,1.0,0.0,43.5,99.0,0.0,,,,,,0.0,,0.31630434782608696,31.0,0.45512820512820507,0.0
texas_tech_lady_raiders,0.9230769230769231,0.07692307692307693,67.8076923076923,68.38461538461539,9.461538461538462,,,,0.0,,0.15384615384615385,376.61538461538464,0.4809154192562939,36.57692307692308,0.7943934932831099,-7.846153846153846
new_mexico_lobos,0.3,0.16666666666666666,76.36666666666666,68.63333333333334,16.066666666666666,,,,-0.03333333333333333,,0.1,460.6,0.46445741251569533,36.86666666666667,1.3364068088487597,-0.6
unc_asheville_bulldogs,0.53125,0.15625,61.53125,66.40625,8.84375,,,,,,-0.15625,,0.4050303154697212,35.34375,0.7668409749914663,-8.6875
app_state_mountaineers,0.92,0.12,69.12,68.12,12.92,,,,,,0.0,,0.41257067750495297,37.84,0.6507701390907112,-5.88
cornell_big_red,1.125,0.16666666666666666,53.833333333333336,61.041666666666664,7.125,,,,,,-0.125,,0.3842798808570995,36.75,0.7054942932012525,-6.375
lafayette_leopards,1.0,0.13333333333333333,54.53333333333333,58.56666666666667,6.666666666666667,,,361.1333333333333,0.0,,0.0,115.33333333333333,0.40431090995072094,36.8,0.6752246391634553,-4.833333333333333
st_bonaventure_bonnies,0.7857142857142857,0.07142857142857142,58.32142857142857,62.32142857142857,7.5,,,,,,0.07142857142857142,,0.42252981872713613,34.0,0.6009773297911122,-5.392857142857143
clarion_golden_eagles,1.0,0.0,46.0,85.0,2.5,,,,,,0.0,,0.3219696969696969,32.5,0.44166666666666665,-5.0
michigan_state_spartans,0.7241379310344828,0.10344827586206896,70.13793103448276,66.51724137931035,12.827586206896552,,,,,,0.13793103448275862,322.0344827586207,0.46656898922044515,37.0,1.1481292877377536,-5.862068965517241
george_mason_patriots,0.6896551724137931,0.034482758620689655,58.6551724137931,65.65517241379311,6.827586206896552,,,,,,-0.06896551724137931,209.41379310344828,0.4039592715879127,36.3448275862069,0.6637423541770209,-7.689655172413793
rice_owls,0.6153846153846154,0.15384615384615385,67.5,66.11538461538461,12.23076923076923,,,,,,0.19230769230769232,,0.439458255020135,39.46153846153846,0.7563877703864711,-6.730769230769231
st_edwards_hilltoppers,0.5,0.0,40.5,88.0,1.0,,,,,,0.0,,0.33940074906367035,31.0,0.2146153846153846,-13.0
minnesota_golden_gophers,0.6,0.06666666666666667,69.86666666666666,71.9,9.866666666666667,,,,,,0.13333333333333333,616.1,0.4503837878624933,36.8,0.9424294736910838,-6.733333333333333
utsa_roadrunners,1.103448275862069,0.20689655172413793,53.793103448275865,66.0,4.655172413793103,,,,0.0,,-0.034482758620689655,540.8275862068965,0.37546595527553434,41.793103448275865,0.48670881691085416,-10.275862068965518
tennessee_state_lady_tigers,0.7333333333333333,0.23333333333333334,63.3,69.03333333333333,8.366666666666667,,,,,,-0.13333333333333333,190.66666666666666,0.4273609185123389,32.266666666666666,0.6141702769396897,-4.833333333333333
western_kentucky_lady_toppers,0.896551724137931,0.0,70.86206896551724,69.86206896551724,11.172413793103448,,,,,,0.034482758620689655,,0.4337379877151329,38.10344827586207,0.7511451481323859,-6.310344827586207
coppin_state_eagles,0.6538461538461539,0.15384615384615385,61.65384615384615,63.92307692307692,10.615384615384615,,,,,,-0.19230769230769232,156.6153846153846,0.3993492813214363,39.15384615384615,0.7261092249485319,-5.423076923076923
st_francis_pa_red_flash,1.5666666666666667,0.1,54.233333333333334,65.86666666666666,5.4,,,,,,-0.26666666666666666,250.83333333333334,0.41160119494024483,36.03333333333333,0.6567382624319091,-8.533333333333333
millersville_marauders,0.5,0.5,42.5,84.5,0.0,,,,,,0.0,,0.3917025003981526,27.0,0.22413793103448276,-20.0
bryant_bulldogs,0.875,0.15625,56.46875,63.25,9.78125,,,,,,-0.09375,,0.42397654821701314,36.09375,0.7756853702000781,-6.0
