team	region	elo	rank
air_force_falcons	West	1950.4364682589703	31
california_baptist_lancers	West	1937.2054265801316	32
uc_riverside_highlanders	West	1929.1117511850855	33
montana_state_bobcats	West	1917.735479223644	34
nevada_wolf_pack	West	1913.972696118783	35
long_beach_state_beach	West	1908.1199715564665	36
uc_davis_aggies	West	1906.8447639579292	37
idaho_state_bengals	West	1853.538257016999	38
northern_arizona_lumberjacks	West	1844.883363671028	39
southern_utah_thunderbirds	West	1812.378791335132	40
utah_valley_wolverines	West	1812.2278513090432	41
montana_lady_griz	West	1779.1129656815667	42
uc_santa_barbara_gauchos	West	1775.1346896738344	43
texas_state_bobcats	West	1756.500405367925	44
tarleton_state_texans	West	1699.2995789302038	45
abilene_christian_wildcats	West	1663.9082172543342	46
texas_am_international_dustdevils	West	1636.8078252634964	47
texas_am_corpus_christi_islanders	West	1540.43707644834	48
