team,region,composite_score,rank
arizona_wildcats,West,0.29540013208887167,19.0
oklahoma_sooners,West,0.29217997949018526,20.0
ut_arlington_mavericks,West,0.2902844033374808,21.0
texas_am_corpus_christi_islanders,West,0.28998544856803515,22.0
texas_longhorns,West,0.2896631468172417,23.0
wyoming_cowgirls,West,0.28878157270181654,24.0
colorado_buffaloes,West,0.2883163950224615,25.0
tarleton_state_texans,West,0.28593692044403946,26.0
utah_utes,West,0.28285099942500275,27.0
long_beach_state_beach,West,0.2827281784615109,28.0
abilene_christian_wildcats,West,0.27973307980778694,29.0
northern_arizona_lumberjacks,West,0.27712273183288766,30.0
uc_irvine_anteaters,West,0.27481732641432144,31.0
idaho_state_bengals,West,0.2734684142875357,32.0
uc_davis_aggies,West,0.27332092951710074,33.0
utah_valley_wolverines,West,0.2732706459368667,34.0
texas_state_bobcats,West,0.27316234374875387,35.0
nevada_wolf_pack,West,0.2726946152613062,36.0
montana_state_bobcats,West,0.27251978571958596,37.0
washington_state_cougars,West,0.27062297036576377,38.0
uc_santa_barbara_gauchos,West,0.2685023024425427,39.0
santa_clara_broncos,West,0.2676371798916115,40.0
north_texas_mean_green,West,0.26625189074151145,41.0
air_force_falcons,West,0.26467424897880165,42.0
ucla_bruins,West,0.26333725011879544,43.0
hawaii_rainbow_wahine,West,0.26313684191778963,44.0
san_diego_toreros,West,0.2578505312326729,45.0
grand_canyon_lopes,West,0.25534935502667444,46.0
san_francisco_dons,West,0.2540853265081815,47.0
uc_riverside_highlanders,West,0.25053824403419106,48.0
